sku,barcode,name,slug,brand,category,species,line,life_stage,breed_size,weight_kg,description,image_url,sale_price,initial_stock,supplier,supplier_product_name,cost_price,supplier_stock_status
OLD-PRINCE-PREMIUM-ADULTO-20KG,,Old Prince Premium Adulto,old-prince-premium-adulto,Old Prince,alimento-seco,perro,,adulto,,20,,,,,Mona,OLD PRINCE PREMIUM ADULTO ( RECIPE) X 20 KG,43257.00,UNKNOWN
EXCELLENT-ADULTO-FORMULA-20KG,,Excellent Adulto Formula,excellent-adulto-formula,Excellent,alimento-seco,perro,Formula,adulto,,20,,,,,Mona,EXCELLENT DOG FORMULA X 20 KG,52283.00,UNKNOWN
DOG-CHOW-ADULTO-MED-GRANDE-20KG,,Dog Chow Adulto Med/Grande,dog-chow-adulto-med-grande,Dog Chow,alimento-seco,perro,,adulto,mediano-grande,20,,,,,Mona,DOG CHOW ADULTO RAZA MEDIANAS Y GRANDES X 20 KG,49611.00,UNKNOWN
PRO-PLAN-ADULTO-MED-GRANDE-15KG,,Pro Plan Adulto Med/Grande,pro-plan-adulto-med-grande,Pro Plan,alimento-seco,perro,,adulto,mediano-grande,15,,,,,Mona,PRO PLAN ADULT DOG RAZA MEDIANA 15KG,96383.00,UNKNOWN
ROYAL-CANIN-MEDIUM-ADULT-15KG,,Royal Canin Medium Adult,royal-canin-medium-adult,Royal Canin,alimento-seco,perro,,adulto,mediano,15,,,,,Mona,Medium Adult 15KG,111328.00,UNKNOWN
OLD-PRINCE-GATO-PREMIUM-ADULTO-75KG,,Old Prince Premium Gato Adulto,old-prince-premium-gato-adulto,Old Prince,alimento-seco,gato,,adulto,,7.5,,,,,Mona,OLD PRINCE PREMIUM GATO ADULTO X 7.5 KG,27704.00,UNKNOWN
EXCELLENT-GATO-ADULTO-75KG,,Excellent Gato Adulto,excellent-gato-adulto,Excellent,alimento-seco,gato,,adulto,,7.5,,,,,Mona,EXCELLENT CAT ADULTO X 7.5 KG,52151.00,UNKNOWN
PRO-PLAN-GATO-ADULTO-75KG,,Pro Plan Gato Adulto,pro-plan-gato-adulto,Pro Plan,alimento-seco,gato,,adulto,,7.5,,,,,Mona,PRO PLAN CAT ADULTO X 7.5 KG,81979.00,UNKNOWN
CAT-CHOW-ADULTO-8KG,,Cat Chow Adulto,cat-chow-adulto,Cat Chow,alimento-seco,gato,,adulto,,8,,,,,Mona,CAT CHOW ADULTO PESCADO/CARNE X 08 KG,40723.00,UNKNOWN
EXCELLENT-GATO-STERILIZED-75KG,,Excellent Gato Sterilized,excellent-gato-sterilized,Excellent,alimento-seco,gato,,adulto,,7.5,,,,,Mona,EXCELLENT CAT STERILIZED X 7.5 KG,60112.00,UNKNOWN
