sku,source_type,source_url
PI-OP-EQ-CAT-AD-75K,manufacturer,https://oldprince.com.ar/producto/old-prince-equilibrium-adultos/
PI-OP-EQ-CAT-KIT-3K,manufacturer,https://oldprince.com.ar/producto/old-prince-equilibrium-gatitos-optimo-crecimiento-pollo-y-arroz/
PI-OP-EQ-CAT-ST-75K,manufacturer,https://oldprince.com.ar/producto/old-prince-equilibrium-adultos-esterilizado/
PI-OP-EQ-CAT-UR-75K,manufacturer,https://oldprince.com.ar/producto/old-prince-equilibrium-adultos-urinario/
PI-OP-EQ-DOG-AD-MG-15K,manufacturer,https://oldprince.com.ar/producto/perros-old-prince-equilibrium-adultos-medianos-y-grandes-pollo-y-arro/
PI-OP-EQ-DOG-AD-SM-15K,manufacturer,https://oldprince.com.ar/producto/perros-old-prince-equilibrium-adultos-razas-pequenas-pollo-y-arroz/
PI-OP-EQ-DOG-PUP-MG-15K,manufacturer,https://oldprince.com.ar/producto/old-prince-equilibrium-cachorros-medianos-y-grandes-pollo-y-arro/
PI-RC-CAT-FIT32-75K,manufacturer,https://www.royalcanin.com/ar/cats/products/retail-products/fit-32-2520
PI-RC-CAT-KIT-75K,manufacturer,https://www.royalcanin.com/ar/cats/products/retail-products/kitten-2522
PI-RC-DOG-MED-AD-15K,manufacturer,https://www.royalcanin.com/ar/dogs/products/retail-products/medium-adult-3004
PI-RC-DOG-MED-PUP-15K,manufacturer,https://www.royalcanin.com/ar/dogs/products/retail-products/medium-puppy-3003
PI-RC-DOG-MINI-AD-75K,manufacturer,https://www.royalcanin.com/ar/dogs/products/retail-products/mini-adult-3001
PI-RC-DOG-MINI-PUP-75K,manufacturer,https://www.royalcanin.com/ar/dogs/products/retail-products/mini-puppy-3000
PI-EXC-CAT-AD-75K,manufacturer,https://www.purina.com.ar/purina/gatos/adulto-pollo-arroz
PI-PP-CAT-ST-75K,manufacturer,https://www.purina.com.ar/proplan/gatos/esterilizados/esterlizado
PI-PP-CAT-AD-75K,manufacturer,https://www.purina.com.ar/proplan/gatos/adultos-producto
PI-PP-CAT-KIT-75K,manufacturer,https://www.purina.com.ar/proplan/gatos/producto/gatito
PI-PP-CAT-UR-75K,manufacturer,https://www.purina.com.ar/proplan/gatos/urinario/urinario
PI-PP-DOG-AD-MED-12K,manufacturer,https://www.purina.com.ar/proplan/perros/adulto/razas-medianas
PI-PP-DOG-SS-MG-12K,manufacturer,https://www.purina.com.ar/proplan/perros/piel-sensible
PI-PP-DOG-AD-SM-75K,manufacturer,https://www.purina.com.ar/proplan/perros/adulto/razas-pequenas
PI-PP-DOG-PUP-COMP-12K,manufacturer,https://www.purina.com.ar/proplan/perros/cachorros/razas-medianas
PI-EXC-DOG-AD-SM-15K,manufacturer,https://www.purina.com.ar/purina/perros/adulto-pollo-arroz-minis-pequenas
PI-EXC-CAT-KIT-75K,manufacturer,https://www.purina.com.ar/purina/productos/gatitos-hasta-12-meses
PI-CC-CAT-ST-3K,manufacturer,https://www.purina.com.ar/purina/productos/esterilizados-pescado
PI-CC-CAT-KIT-3K,manufacturer,https://www.purina.com.ar/purina/productos/gatitos-hasta-12-meses
PI-DC-DOG-AD-SM-8K,manufacturer,https://www.purina.com.ar/dogchow/productos/minis-pequenos
PI-EXC-CAT-ST-75K,manufacturer,https://www.purina.com.ar/excellent/productos-excellent
PI-EXC-CAT-UR-75K,manufacturer,https://www.purina.com.ar/excellent/productos-excellent
PI-EXC-DOG-AD-MG-15K,manufacturer,https://www.purina.com.ar/excellent/productos-excellent
PI-EXC-DOG-PUP-MG-15K,manufacturer,https://www.purina.com.ar/excellent/productos-excellent
PI-DL-DOG-SM-42G-7,manufacturer,https://www.purina.com.ar/dentalife
PI-DL-DOG-MED-119G-7,manufacturer,https://www.purina.com.ar/dentalife
PI-WC-CAT-SIL-NEU-38L,manufacturer,https://www.wondercat.com.ar/silica-wondercat/
PI-CC-CAT-AD-FISH-8K,manufacturer,https://www.purina.com.ar/purina/productos/adultos-pescado
PI-CC-CAT-WET-ST-FISH-85G15,manufacturer,https://www.purina.com.ar/purina/productos/esterilizados-hydro-pescado
PI-PP-CAT-WET-AD-SAL-85G15,manufacturer,https://www.purina.com.ar/proplan/gatos/adulto/salmon-humedo
PI-DC-DOG-AD-MG-15K,manufacturer,https://www.purina.com.ar/purina/productos/medianos-grandes
PI-DC-DOG-PUP-MG-15K,manufacturer,https://www.purina.com.ar/purina/productos/medianos-grandes
PI-OP-NOV-DOG-AD-MG-15K,manufacturer,https://oldprince.com.ar/producto/2-old-prince-proteinas-noveles-adultos-medianos-y-grandes-cordero-y-arroz-integral/
PI-OP-EQ-DOG-WC-15K,manufacturer,https://oldprince.com.ar/tienda/
PI-OP-EQ-DOG-AD-SM-75K,manufacturer,https://oldprince.com.ar/producto/perros-old-prince-equilibrium-adultos-razas-pequenas-pollo-y-arroz/
PI-CC-CAT-WET-AD-FISH-85G15,manufacturer,https://www.purina.com.ar/catchow
PI-EXC-DOG-RC-15K,manufacturer,https://www.purina.com.ar/purina/perros/adulto-sobrepeso-pollo-arroz
PI-EXC-DOG-SEN-15K,manufacturer,https://www.purina.com.ar/excellent/perros/adulto-mayor-pollo-arroz-todo-tamanos
PI-RC-CAT-IND27-75K,manufacturer,https://www.royalcanin.com/ar/cats/products/retail-products/indoor-27-2529
PI-GOLO-DOG-TRAIN-180G,manufacturer,https://golocan.com.ar/productos/training-snacks/
PI-PPET-HIG-MAX-10,manufacturer,https://xn--paopet-xwa.com/catalogo_presentacion2021.pdf
PI-PPET-HIG-MINI-10,manufacturer,https://xn--paopet-xwa.com/catalogo_presentacion2021.pdf
PI-VF-CAT-LIT-CARB-6K,manufacturer,https://vitalcan.com/producto/vitalfun-arena-sanitaria-aglomerante-carbon-activado/
PI-RC-CAT-ST-WC-75K,manufacturer,https://www.royalcanin.com/ro/cats/products/retail-products/sterilised-37-2537
PI-VF-CAT-LIT-BEN-NEU-6K,manufacturer,https://vitalcan.com/producto/vitalfun-arena-sanitaria-aglomerante-neutral/
